Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Tyler Rawson\tyler-rawson-1,SR,2017-18,F,Utah,Pac-12,29,896,18.7,0.582,0.545,4.7,19.9,12.7,24.5,1.4,3.6,17.6,19,342,114.5,99.1,1.9,1.6,3.5,3.8,5,8.8
Marcquise Reed\marcquise-reed-1,JR,2017-18,G,Clemson,ACC,30,1042,21.1,0.586,0.531,2.6,12.7,7.9,20.8,3,0,14.4,24.5,482,115.4,97.3,2.8,2,4.8,5.7,3.1,8.8
Gavin Schilling\gavin-schilling-1,SR,2017-18,F,Michigan State,Big Ten,33,327,19.2,0.678,0.706,16.1,23,20,6.1,1.4,3.8,22.2,14.6,106,122.8,90.8,0.7,0.8,1.6,3.8,5,8.8
Tre Scott\tre-scott-1,SO,2017-18,F,Cincinnati,AAC,31,375,18.3,0.573,0.552,13.7,20,17,14.3,2.4,1.9,21.7,13.5,113,117.9,84.5,0.7,1.2,1.9,1.9,6.9,8.8
Allonzo Trier\allonzo-trier-1,JR,2017-18,G,Arizona,Pac-12,29,980,24.2,0.676,0.621,1.5,9.4,5.8,18.3,1.2,1.2,13.8,24.5,508,131.1,107.8,4.2,0.9,5.1,8.7,0,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Armoni Brooks\armoni-brooks-1,SO,2017-18,G,Houston,AAC,30,612,22.2,0.615,0.602,4.9,15.1,10.1,4.9,2.3,1.8,5,21.1,252,131.6,95.2,2.1,1.3,3.4,7,1.7,8.7
Jemerrio Jones\jemerrio-jones-1,SR,2017-18,F,New Mexico State,WAC,30,848,23.8,0.508,0.507,14.3,34.5,24.5,22,2.4,2.3,17.9,22.5,381,107.4,81.8,1.5,2.9,4.4,1.7,7,8.7
Mitch Lightfoot\mitch-lightfoot-1,SO,2017-18,F,Kansas,Big 12,31,428,16.1,0.599,0.575,11.6,12.4,12,3.3,1.2,11.7,20.7,14.1,123,112,99.7,0.6,0.7,1.3,1,7.7,8.7
Ryan Luther\ryan-luther-1,SR,2017-18,F,Pittsburgh,ACC,10,325,23.1,0.535,0.514,13.5,22.4,18.1,22.8,3,2.3,13.8,23.1,138,109.8,102.3,0.7,0.5,1.1,4.4,4.4,8.7
Quinndary Weatherspoon\quinndary-weatherspoon-1,JR,2017-18,G,Mississippi State,SEC,31,968,22.6,0.59,0.554,6,15.4,10.8,22.2,2.7,1.3,16.8,24.1,467,115.5,97.3,2.6,1.9,4.5,5.5,3.2,8.7
David Collette\david-collette-1,SR,2017-18,F,Utah,Pac-12,28,614,27.7,0.653,0.633,8.6,16.5,12.8,13.4,2.4,3.5,12.5,26.9,316,121.8,98.1,2.2,1.2,3.3,4.6,4,8.6
Tyler Davis\tyler-davis-5,JR,2017-18,C,Texas A&M,SEC,31,898,24.9,0.608,0.593,13.1,18.1,15.7,9.5,0.7,4.9,13.8,23.3,434,119.3,98.9,2.7,1.6,4.3,4.5,4.1,8.6
Daryl Macon\daryl-macon-1,SR,2017-18,G,Arkansas,SEC,31,955,23.8,0.633,0.579,1.3,9,5.2,23.4,2,0.2,11.8,24.2,517,128,108.6,3.9,0.8,4.7,9,-0.4,8.6
P.J. Thompson\pj-thompson-1,SR,2017-18,G,Purdue,Big Ten,34,941,12.7,0.655,0.61,1.8,5.3,3.7,9.8,2.5,0.2,14,11.8,236,127.6,101.1,1.8,1.5,3.3,5.8,2.8,8.6
Matisse Thybulle\matisse-thybulle-1,JR,2017-18,G,Washington,Pac-12,32,1024,17.6,0.543,0.525,3.2,7.3,5.3,15.1,5,4.8,17.9,19,350,103.8,98.5,1.1,1.9,3,2.6,5.9,8.6
Muhammad-Ali Abdur-Rahkman\muhammad-ali-abdur-rahkman-1,SR,2017-18,G,Michigan,Big Ten,35,1218,18.4,0.568,0.535,2.4,11.2,6.8,17.5,1.6,0.5,5.6,18.3,448,126.1,100.2,3.5,2,5.6,5.1,3.4,8.5
Chris Chiozza\chris-chiozza-1,SR,2017-18,G,Florida,SEC,31,996,19.8,0.528,0.484,1.7,14.3,7.9,35.6,3.4,0.2,15,19.3,406,116.2,99.2,2.4,1.8,4.1,4.9,3.6,8.5
