Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Brian Katz\brian-katz-1,SR,2011-12,G,Yale,Ivy,2,14,10.1,0.375,0.375,0,9.1,4.3,14,4.3,0,0,14.5,3,100.4,95.7,0,0,0,0.1,-0.3,-0.1
Reggie Keely\reggie-keely-1,SO,2010-11,F,Ohio,MAC,35,641,14.5,0.496,0.453,11.8,17.5,14.6,7.7,1.7,6.6,21.1,18.5,198,96.8,100.8,0.4,0.9,1.3,-3.3,3.2,-0.1
Kyle Kelm\kyle-kelm-1,SR,2013-14,F,Milwaukee,Horizon,35,1052,16.7,0.581,0.528,6.8,13.2,10,12.3,1.1,0.5,15.9,21.8,421,111,106.3,2,1.2,3.2,0.4,-0.5,-0.1
Shawn Kemp\shawn-kemp-1,SO,2012-13,F,Washington,Pac-12,27,507,14.3,0.552,0.533,9.2,10.6,9.9,2.1,0.2,3.2,15.3,18.4,157,106.8,107.6,0.8,0.3,1.1,-0.2,0.1,-0.1
Keala King\keala-king-1,JR,2012-13,G,Long Beach State,Big West,22,619,14.8,0.504,0.47,7.9,12.3,10,21.1,1.9,0.2,20.2,21.7,236,100.4,107.3,0.8,0.4,1.2,1,-1.1,-0.1
Jerred Kite\jerred-kite-1,SO,2014-15,F,Incarnate Word,Southland,21,159,14.6,0.587,0.619,9.9,15.3,12.7,7.8,2.9,3.1,14.4,8.9,35,125.4,104,0.3,0.2,0.5,-0.6,0.6,-0.1
Marcus Kitts\marcus-kitts-1,SR,2010-11,F,William & Mary,CAA,32,773,18.6,0.547,0.557,9.7,19.1,14.7,8.5,1.4,8.7,19.9,24.6,282,96.4,101.2,0.6,1,1.6,-3.2,3.1,-0.1
A.J. Lapray\aj-lapray-1,SO,2015-16,G,Pepperdine,WCC,14,171,8.9,0.54,0.541,0.7,11,5.9,9.3,1.7,0.6,15.6,13.3,37,101.5,106.1,0.1,0.2,0.3,-0.3,0.2,-0.1
Terry Larrier\terry-larrier-1,FR,2014-15,G,Virginia Commonwealth,A-10,36,666,12.3,0.471,0.418,5.2,13.8,9.2,6.3,1.5,0.9,13,22.3,227,97.3,101.2,0.5,0.9,1.4,0.2,-0.3,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
