Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Davon Marshall\davon-marshall-1,SR,2013-14,G,Liberty,Big South,31,939,11,0.475,0.44,1.2,5.7,3.5,14.4,1.8,0,12.5,20.5,301,104.1,112,1,0.6,1.6,-0.9,-3.8,-4.7
Sam Martin\sam-martin-1,SR,2012-13,G,Yale,Ivy,31,412,14,0.61,0.587,0.3,8.6,4.1,11.4,1.1,0.3,12.7,17.1,121,118.8,109.1,0.9,0.2,1.1,1.8,-3.8,-1.9
Javier Martinez\javier-martinez-1,FR,2013-14,F,Tennessee-Martin,OVC,26,306,15.9,0.638,0.623,11.7,15.7,13.4,2.5,0.9,2.4,12.1,13.1,93,127.9,117.3,0.7,0,0.7,-1.1,-3.8,-4.9
Emmanuel Matey\emmanuel-matey-1,FR,2014-15,G,Morgan State,MEAC,29,398,9.2,0.438,0.388,1.6,9.2,4.8,37.2,2.1,0,31.8,13,87,87.2,109.7,-0.1,0.2,0.1,-5.7,-3.8,-9.5
Elijah Mays\elijah-mays-1,SR,2016-17,G,Florida A&M,MEAC,28,652,10.9,0.442,0.408,2.2,7.9,5,26.1,2.3,0.2,14.9,16.8,200,96.8,110.3,0.3,0.4,0.7,-3.2,-3.8,-7
Keith McDougald\keith-mcdougle-1,SO,2011-12,G,Jacksonville,A-Sun,19,503,13.8,0.474,0.45,5.3,9.8,7.3,11.1,2.3,0,12.5,25.4,193,98.7,111.4,0.6,0.1,0.7,0.5,-3.8,-3.2
Logan McIntosh\logan-mcintosh-1,SR,2017-18,G,Maryland-Eastern Shore,MEAC,25,886,13.5,0.505,0.438,1.9,11,6.1,28.4,1.7,0.1,19.3,21.2,321,99.1,118.3,0.7,0,0.6,-2.1,-3.8,-5.9
Tyler Melville\tyler-melville-1,JR,2012-13,G,Dartmouth,Ivy,27,533,16,0.615,0.559,1.6,8.6,4.8,18.4,1.4,0.5,17.9,20.4,190,112.5,108.6,1.2,0.3,1.5,1.3,-3.8,-2.6
Lamont Middleton\lamont-middleton-1,SR,2013-14,G,North Carolina A&T,MEAC,32,1123,15.7,0.494,0.386,4.5,10.8,7.6,16.5,1.7,0.5,14.4,29.6,537,101.9,109.9,1.4,0.9,2.3,-0.3,-3.8,-4.1
Tanner Milson\tanner-milson-1,SO,2011-12,G,North Carolina-Wilmington,CAA,31,644,8.3,0.487,0.457,0.5,7.9,4.1,22.2,1.4,0.3,23.1,18.1,178,91.9,111.1,0.2,0.2,0.4,-0.9,-3.8,-4.7
Dexter Moore\dexter-moore-1,SR,2011-12,G,Coastal Carolina,Big South,28,272,13.5,0.555,0.531,0.5,7.7,4.2,9.8,1.3,1.2,11.5,17.9,84,113.9,104.6,0.5,0.3,0.8,0.4,-3.8,-3.4
Pat Moore\pat-moore-2,JR,2012-13,G,Colgate,Patriot,31,851,12.7,0.555,0.532,1.5,9.3,5.3,12.1,0.6,0,12.4,19.6,272,105.6,111.7,1.3,0.2,1.5,1,-3.8,-2.8
Devin Morgan Jr.\devin-morganjr-1,FR,2015-16,G,Delaware State,MEAC,31,950,14.2,0.507,0.471,2.5,8.8,5.5,20.7,1.8,0,13.8,23.1,362,101.7,110.9,1,0.6,1.6,0.1,-3.8,-3.7
